Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
4 tỷ VND,gần 45m2,CMT8 Phường 5 Tân Bình,Not mentioned,Not mentioned,Not mentioned,"gần chợ Ông Tạ, CV LÊ THỊ RIÊNG , trường học Tân Bình, thuận tiệ qua Q3, Q10, Phú Nhuận",CMT8,Phường 5,Tân Bình,Not mentioned,Not mentioned,284353
600 triệu,70m2 (5x14m),"Liên Khu 4-5, Bình Tân",3,2,"1 trệt, 1 lầu",BHH-B,Liên Khu,Not specified,Bình Tân,6m,Nhà trong hẻm,284324
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,284322
37 tỷ VND,346m2,"Khu VÍP Bàu Cát, Phường 11, Tân Bình",Not specified,Not specified,6,"Văn phòng công ty, phòng mạch, spa, cho thuê CHDV hoặc khách sạn, kinh doanh đa ngành nghề",Khu VÍP Bàu Cát,Phường 11,Tân Bình,Not specified,Ngoài lộ,284321
3.9 tỷ VND,40 m2 (4x10m),"Nguyễn Văn Lượng, Phường 17, Gò Vấp, đối diện Lottemart",3,2,2 (1 trệt 1 lầu),full nội thất,Nguyễn Văn Lượng,Phường 17,Gò Vấp,3.5 m,Nhà trong hẻm,284320
3 tỷ VND,Not specified,"Lê Văn Quới, Mã Lò, Bình Hưng Hòa A, Bình Tân",2,2,2,Not specified,Lê Văn Quới,Bình Hưng Hòa A,Bình Tân,Not specified,Hẻm,284319
4 tỷ 850 triệu,48m2,"Hẻm 4m thông nhà, ngay siêu thị AEON Tân Phú, Khu Ẩm thực phố Tân Quý",2,2,2,"Sổ hồng riêng, hoàn công đầy đủ, công chứng nhanh",AEON Mall,Tân Phú,Tân Phú,49m2,Nhà trong hẻm,284381
3.x tỷ VND,"5m x 9m, nở hậu 6m","Gần Lê Văn Quới, Mã Lò, Bình Hưng Hòa A, Bình Tân",3,2,Not mentioned,"1 máy lạnh 2 ngựa, 1 dàn nước nóng năng lượng mặt trời, 1 bộ rèm cửa, 1 bộ xử lý nc lọc sạch",Lê Văn Quới,Bình Hưng Hòa A,Bình Tân,Not mentioned,Hẻm xe hơi 5m 1 trục vài bước ra mặt tiền,284308
3 tỉ 780 triệu,"3.5 x 10.3m, diện tích sàn 122.6m2","hẻm đường Nguyễn Đình Chính, P.11, Phú Nhuận",4,3,1 trệt 2 lầu + sân thượng,Sổ hồng riêng,Nguyễn Đình Chính,Phường 11,Phú Nhuận,Not mentioned,Hẻm,284377
"5,2 tỷ VND",3.8m x 12m (nở hậu 4.26m),"Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân",3,3,2,"Tặng full nội thất, gara đậu xe 7 chổ trong nhà, cách mặt tiền Mã Lò 1 căn, hẻm nhựa rộng, cách BV Quận Bình Tân 300m, Coopmart, Trường học, CA Phường",Mã Lò,Bình Trị Đông A,Bình Tân,8m,Nhà trong hẻm,284376
5 tỷ,51m2,"Khu Vip Tân Phú, giáp Tân Sơn Nhì, Nguyễn Cửu Đàm",4,3,1 trệt 1 lầu,"Hẻm ba gác thẳng, sạch sẽ, khu an ninh, dân trí cao",Nguyễn Cửu Đàm,Tân Phú,Tân Sơn Nhì,40m,Nhà trong hẻm,284373
3 tỷ VND,"60m2 (ngang 4.2m nở hậu 5.1m, dài 13m, tổng diện tích 61m2)","Hẻm 49 đường số 47, Phường Hiệp Bình Chánh, Thủ Đức",2,Not specified,Not specified,"Chỗ để xe, lối đi rộng 1m",Đường số 47,Hiệp Bình Chánh,Thủ Đức,Not specified,Nhà trong hẻm,284369
11 tỷ,80m2,"Tân Phú, Tân Sơn Nhì",6,Not mentioned,5,"Phòng thờ, sân thượng trước sau",Not mentioned,Not mentioned,Tân Phú,Not mentioned,Not mentioned,284368
"3,33 tỷ VND",Not specified in the text,"đối diện Aeon Mall Tân Phú, Bình Hưng Hòa, Bình Tân",2,2,1 trệt 1 lầu (2 floors),Sổ hồng trao tay,Not specified in the text,Bình Hưng Hòa,Bình Tân,Not specified in the text,Hẻm sát mặt tiền ô tô tránh (House in an alley),284367
3.5 tỷ VND,Not specified,"Ni Sư Huỳnh Liên, Tân Bình",2,2,2,"Giếng trời, ban công thoáng mát",Ni Sư Huỳnh Liên,Not specified,Tân Bình,Not specified,Hẻm,284366
6.X tỷ,81m2 (ngang 4.2 x dài 19m),Hẻm 4m Thông Xô Viết Nghệ Tỉnh Phường 21 Bình Thạnh,4,Not specified,2,Not specified,Xô Viết Nghệ Tỉnh,Phường 21,Bình Thạnh,4.2m,Nhà trong hẻm,278670
4 tỷ 9,"3.5 x 10.3m, diện tích sàn 122.6m2","hẻm đường Nguyễn Đình Chính, P.11, Phú Nhuận",4,3,1 trệt 2 lầu + sân thượng,"Pháp lý sổ hồng riêng, hoàn công đầy đủ",Nguyễn Đình Chính,Phường 11,Phú Nhuận,Not specified,Nhà trong hẻm,278617
4.8 tỷ,4 x 15m,Nhà lô góc Kha Vạn Cân vài bước ra MT,5,4,3,"ban công, sân thượng phơi đò, Gigamall, chợ Hiệp Bình, BX MĐ cũ",Kha Vạn Cân,Not mentioned,Not mentioned,Not mentioned,hẻm thông,278605
5.3 tỷ VND,41m2,"Bùi Quang Là, Gò Vấp, Hồ Chí Minh",4,3,4,"Phòng khách, bếp, sân thượng trước sau",Bùi Quang Là,Gò Vấp,Gò Vấp,4m,Nhà trong hẻm,278604
3 tỉ 770 triệu VND,"3.2 x 8m, nở hậu 3.7m","đường Hoàng Diệu, p10, Phú Nhuận",3,4,3 lầu,"3 máy lạnh, máy quạt, sofa",Hoàng Diệu,Phú Nhuận,Phú Nhuận,3.2m,nhà trong hẻm,278603
4 tỉ 320,"3,5m x 12m",khu Vip Lê Văn Sỹ -P.11- Phú Nhuận,4,4,3 lầu BTCT + sân thượng,"máy lạnh, sofa, Tivi 55inch, tủ lạnh, bàn ăn, năng lượng mặt trời,...",Lê Văn Sỹ,Phường 11,Phú Nhuận,20m,Ngay sau lưng căn mặt tiền Lê Văn Sỹ,278601
1 tỷ 9,"3 x 5m, diện tích sàn 32m2","Lê Quý Đôn, Phường 12, Phú Nhuận",1,2,"1 trệt, 1 lầu",Sổ hồng riêng chính chủ,Lê Quý Đôn,Phường 12,Phú Nhuận,Sát mặt tiền,Hẻm thoáng mát gần mặt tiền chính,278597
3 tỉ 920,"30,45m2 (4.2 x 7.25m) + 92.2m2 (tổng diện tích sử dụng)","Chính chủ đi nước ngoài cần bán gấp nhà vuông vức đường Trương Quốc Dung, P.10, Phú Nhuận",3,2,"1 trệt, 1 lửng, 2 lầu","Khu trung tâm, hẻm rộng 3m, tiện ích đầy đủ, kết nối sân bay quốc tế và nội địa",Trương Quốc Dung,Phường 10,Phú Nhuận,Not specified,Sát ngay đường Nguyễn Văn Trỗi,278592
Not explicitly stated,Not explicitly stated,"639 Quốc lộ 13, P. Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",Not explicitly stated,Not explicitly stated,Not explicitly stated,"Cửa nhựa ABS Hàn Quốc, độ bền cao, mẫu mã đa dạng, hiện đại, trọng lượng nhẹ, đóng mở êm ái, giá thành 'mềm', không mối mọt, khả năng chống thấm nước, chậm cháy, cách âm được tối ưu hóa, thân thiện với môi trường",Quốc lộ 13,Hiệp Bình Phước,Thủ Đức,Not explicitly stated,Not explicitly stated,278591
5.3 tỷ VND,41m2,"Bùi Quang Là, Gò Vấp",4,3,4,"nhà mới đẹp, nội thất cao cấp, sân thượng trước sau, an ninh tốt",Bùi Quang Là,p12,Gò Vấp,4m,nhà trong hẻm,278586
5.5 tỷ VND,55m2,"Nhà hiếm ngay chợ Thị Nghè, Phường 17, Bình Thạnh",2,3,2,"Phòng khách, bếp, nhiều cửa sổ và ban công",Chợ Thị Nghè,Phường 17,Bình Thạnh,Not mentioned,Not mentioned,278585
2 tỷ VND,46m2 (4x11.5),"Lê Đình Cẩn, Bình Tân",3,2,"1 trệt, 1 lầu","Hẻm xe hơi, giáp khu Tên Lửa, Aeon Mall",Lê Đình Cẩn,Not specified,Bình Tân,Not specified,Hẻm xe hơi,278668
3.5 tỷ VND,Not specified in the text,"Near Celadon Apartment, Sơn Kỳ, and a few steps away from Aeon Mall",2,Not specified in the text,4,"Car access, spacious living room, complete surrounding amenities",Not specified in the text,Sơn Kỳ,Not specified in the text,Not specified in the text,Hẻm (alley),278584
8 tỷ 28 triệu VND,4x20m,"Tân Phú, Giáp Tân Bình, Khu VIP Vườn Lài",5,6,5,"Nội thất cao cấp, sân vườn rộng, khuôn viên mát mẻ","Vườn Lài, Lũy Bán Bích, Thoại Ngọc Hầu, Âu Cơ",Not mentioned,Tân Phú,Not mentioned,Nhà trong hẻm,278666
Not provided,"3,5m x 12m",khu Vip Lê Văn Sỹ -P.11- Phú Nhuận,4,4,"1 trệt, 3 lầu BTCT","full nội thất cao cấp, máy lạnh, sofa, Tivi 55inch, tủ lạnh, bàn ăn, năng lượng mặt trời",Lê Văn Sỹ,Phường 11,Phú Nhuận,Not provided,Ngoài lộ,278657
5 tỷ,60m2 (4x15),"Nhà phố ngay chợ Hiệp Bình, Thủ Đức",3,4,1 trệt + 2 lầu + sân thượng,"Sân xe, pk, bếp",Hiệp Bình Chánh,Thủ Đức,Thủ Đức,Not mentioned,Nhà trong hẻm,278643
7.8 tỷ VND,84m2,"Trường Thọ, cách mặt tiền Kha Vạn Cân chỉ khoảng 50m, vị trí sát chợ Thủ Đức",4,3,3,"Có ban công, CÓ CHỔ ĐỂ XE BÊN HÔNG LUÔN",Trường Thọ,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,278639
3 tỷ,72m2,Giáp quận 6,3,4,3,Không có thông tin chi tiết,Không có thông tin chi tiết,Không có thông tin chi tiết,Quận 6,Không có thông tin chi tiết,Hẻm xe hơi thông,278633
7 tỷ 9,4 x 17m,"đường Nhiêu Tứ, phường 7, quận Phú Nhuận",5,Not mentioned,2 lầu,"Full nội thất cao cấp, ti vi, tủ lạnh bàn ghế giường tủ",Nhiêu Tứ,phường 7,quận Phú Nhuận,Not mentioned,Vị trí gần mặt tiền đường Nhiêu Tứ,278625
4 tỷ xíu,4m x 11m,Hẻm 4m Thống Nhất,Not mentioned,Not mentioned,"1 Trệt 2 Lầu 1 Sân Thượng (1 ground floor, 2 floors, 1 rooftop)",Full nội thất (full interior furnishing),Thống Nhất,Not mentioned,Not mentioned,4m,Nhà trong hẻm (House in an alley),278619
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278574
5 tỷ 18 triệu VND,72m2,"Bình Tân, Giáp Tân Phú gần Aeon",4,1,4,"Nội thất cao cấp, sang trọng, sân thượng, tiện ích bao quanh",Not mentioned in the text,Not mentioned in the text,Bình Tân,Not mentioned in the text,Nhà trong hẻm,278546
3 tỷ VND,52m2,"Đường Đỗ Xuân Hợp, Phường Dương Đình Hội",3,2,2,"Chợ cách vài bước chân, Khu vực kinh doanh buôn bán sầm uất, Gần nhiều trường đại học, cao đẳng, trường cấp 1 2 3",Đỗ Xuân Hợp,Dương Đình Hội,Not specified,Not specified,Nhà trong hẻm,278544
Hơn 4 tỷ,41m2,"Khu VIP - Tân Phú, cách Luỹ Bán Bích chỉ 100m, trung tâm Vườn Lài, gần UBND Quận, giáp Tân Bình",3,Not specified,2,"Ban công, bếp, phòng khách",Luỹ Bán Bích,Not specified,Tân Phú,Not specified,Nhà cách mặt tiền Vườn Lài vài căn,278540
1.7 tỷ VND,32m2,"Lê Văn Khương, Hiệp Thành, gần bên xe buýt Hiệp Thành, Nguyễn Ảnh Thủ",Not specified,Not specified,1 trệt 1 lầu,"Nhà mới ở liền, chủ tặng nội thất mới, Sổ hồng riêng, hoàn công đủ, không quy hoạch, không lộ giới",Lê Văn Khương,Hiệp Thành,Not specified,Not specified,"Hẻm trước nhà 3m rộng thoáng, cách xe hơi 3 căn",278535
6 tỷ 6,"3.75 x 12.75m, diện tích sàn 183.9m2","Nhà chính chủ hẻm xe hơi vào luôn trong nhà Nguyễn Thị Huỳnh, P.8, Phú Nhuận",4,4,"1 trệt, 3 lầu + sân thượng","Pháp lý sổ hồng riêng, hoàn công đầy đủ, không gian đậu ô tô trong nhà rộng rãi",Nguyễn Thị Huỳnh,P.8,Phú Nhuận,QH 12m,Nhà trong hẻm,278531
4.000.000 VND/bộ - 4.900.000 VND/bộ,Not available in the text,Kingdoor Showrooms at various locations in Vietnam,Not available in the text,Not available in the text,Not available in the text,Phụ kiện đi kèm cửa (various accessories listed in the text),Not available in the text,Not available in the text,Quận 7,Not available in the text,Not available in the text,278529
5 tỷ 5,75m2 (4.4x17),"Đường Thoại Ngọc Hầu, Tân Phú",Not mentioned,Not mentioned,1 trệt 1 lầu,"Sân để xe rộng, ban công lớn, giếng trời, UBND quận Tân Phú, Siêu Thị, Trường Học, Bênhk Viện, Ngân Hàng",Thoại Ngọc Hầu,Not mentioned,Tân Phú,Not mentioned,"Hẻm xe tải, gần ngay mặt tiền",278528
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278525
7 tỷ 899,56m2,"Lê Quang Định, Bình Thạnh",6,7,3,"trung tâm tiện ích, gần bệnh viện NHÂN DÂN GIA ĐỊNH, Ung bướu, trường, chợ",Lê Quang Định,Bình Thạnh,Phú Nhuận,3.8m,hẻm thông,278519
4 tỷ 8,4 x 15,"Bình Thành, Liên Khu 4-5, Nguyễn Thị Tú, Cây Cám",Not specified,Not specified,4,"Khu cao tầng, an ninh, đầy đủ tiện ích",Nguyễn Thị Tú,Liên Khu 4-5,Bình Thành,6m,Nhà trong hẻm,278514
9 tỷ VND,5x16 m2,"nguyễn Cửu Vân, Bình Thạnh",4,3,2,"Sân thượng, Chính chủ xây để ở",nguyễn Cửu Vân,Not mentioned,Bình Thạnh,Not mentioned,Not mentioned,278570
"29,5 tỷ (thương lượng) hoặc 60tr/tháng cho thuê",140m2 (700m2 diện tích sử dụng),"Mặt tiền đường Đặng Văn Bi, Thủ Đức",Not mentioned,Not mentioned,1Hầm + 4Lầu + sân thượng,"Tầng hầm, thang máy, tiện duy chuyển các Quận, tỉnh lân cận, đường xá thông thoáng, rộng, gần chợ, siêu thị, trường, ngân hàng, trung tâm thương mại",Đặng Văn Bi,Not mentioned,Thủ Đức,Not mentioned,Ngoài lộ,278513
4 tỷ,40 m2 (4 × 10m),"Ngay Phùng Tá Chu, giáp Quận 6, kề khu Tên Lửa Aeon mall Bình Tân",2,2,2,"Nhà mới thơm mùi sơm, xách vali Ở",Phùng Tá Chu,Not mentioned,Bình Tân,Not mentioned,Not mentioned,278567
"4,85 tỷ VND",120m2 (4.2x27m),"Giáp Tân Phú, Bình Tân, gần Aeon Mall",2,1,2,"Vị trí đẹp, tiện ích bao quanh, mặt tiền lô góc kinh doanh thoáng 2 mặt, gần Hương lộ 3, Đường 26/3, Tân Kỳ Tân Quý",Đường Nội Bộ Xe Tải,Tân Phú,Bình Tân,2,Nhà trong hẻm,278557
2 tỷ VND,30m2,"Đường Tân Hòa Đông, Quận 6",1,1,2 (1 trệt 1 lửng),"Nút thắt giao thông tiện di chuyển quận 3,5,10,Bình Tân, Tân Phú",Tân Hòa Đông,Not specified,Quận 6,Not specified,Nhà trong hẻm,278553
10 tyr9,120m2,"Nhà MT Tân Hương, Q.Tâm Phú",5,6,5,"Văn Phòng Cty, Hotel, cà phê",Tân Hương,Not mentioned,Tân Phú,Not mentioned,Ngoài lộ,278552
6.2 tỷ VND,4.7 x 15 m2,"475 Đỗ Xuân Hợp, Phước Long B, Quận 9",4,3,3,Sân Thượng,Đỗ Xuân Hợp,Phước Long B,Quận 9,1,Ngoài lộ,278550
5.9 tỷ VND,3.4x13,"Phường 15, Bình Thạnh",4,3,2,"Sân thượng, gần Hàng Xanh, ĐH Hutech, sát Thị Nghè",Bạch Đằng,Phường 15,Bình Thạnh,Not mentioned,Not mentioned,278548
7 tỷ VND,72m2 (4x18),"Nam Long, Binh Tan",Not specified,Not specified,2,Fully furnished,Not specified,Not specified,Binh Tan,1,"In a subdivision, not on a main road",278547
5.x tỷ,50m2,"Nhà sát mặt tiền Bạch Đằng, Phường 15, Bình Thạnh",4,3,4,"phòng khách, bếp rộng rãi, sạch sẽ, an ninh, yên tĩnh, gần chợ Bà Chiểu, BV Bình Thạnh, UBND quận, Công an phường, ĐH Hutech, ĐH Hồng Bàng",Bạch Đằng,Phường 15,Bình Thạnh,Not specified,Ngoài lộ,278499
3.x tỷ VND,Rộng 4.5m,"Phan Đăng Lưu, Phường 1, Phú Nhuận",2,2,2,"Coopmart, BV Hoàn Mỹ, chợ Phú Nhuận, phố ẩm thực, sân bay Tân Sơn Nhất",Phan Đăng Lưu,Phường 1,Phú Nhuận,6m,Nhà trong hẻm,278483
Giá không được cung cấp trong nội dung,Diện tích 33m2,"Lê Duy Nhuận, phường 12, quận Tân Bình",4 phòng ngủ,5 phòng tắm,5 tầng,giếng trời,Lê Duy Nhuận,phường 12,quận Tân Bình,1 mặt tiền,ngay mặt tiền,278481
58tr/m2,73m2 (4.3x17 m),Nhà MT sát Đỗ Xuân Hợp,5PN,5WC,Not mentioned,"Đường xe tải, sân rộng, ban công thoáng",Đỗ Xuân Hợp,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm hay ngoài lộ,278470
5.4 tỷ VND,Not mentioned in the text,"Near Trường Chinh Street, close to Chợ Võ Thành Trang",2,2,2 (1 trệt 1 lầu),"Chợ Võ Thành Trang, many banks, close to Bàu Cát",Trường Chinh,Not mentioned in the text,Not mentioned in the text,"Not mentioned in the text, but it is mentioned that the house is near the frontage (nhà gần mặt tiền)",In an alley (Hẻm xe hơi vào nhà),278462
11 tỷ,95m2 (4 x 23m),Nguyễn Tư Giản Phường 12 Gò Vấp,5,Not specified,4,"Sân thượng trước và sau, tầng 2 cũng có sân thượng ngoài, toàn nội thất gỗ quý",Nguyễn Tư Giản,Phường 12,Gò Vấp,Not specified,Nhà trong hẻm,278460
6.7 tỷ VND,35m²,Quận 3,3,Not mentioned,4,"Full nội thất cao cấp, xe tải đỗ cửa",Not mentioned,Not mentioned,Quận 3,2,Nhà trong hẻm,278456
2 tỷ 650 triệu VND,45.8 m2,"Nguyễn Thượng Hiền, Phường 5, Bình Thạnh",4,3,"1 trệt, 2 lầu","1 phòng khách, 1 phòng thờ, 1 sân thượng trước thờ mẹ quan âm, sân sau phơi đồ, 2 hẻm nhỏ thông thoáng gió",Nguyễn Thượng Hiền,Phường 5,Bình Thạnh,4 m,Nhà trong hẻm,278452
5 tỷ VND,Not specified in the text,"Nguyễn Tư Giản, phường 12, Gò Vấp, Tp HCM",2,2,1 trệt 1 lầu,"Gần chợ, BHX, nhiều ngân hàng và trường học các cấp",Nguyễn Tư Giản,phường 12,Gò Vấp,6m,Hẻm,278451
Not mentioned,Not mentioned,Quận 10,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Quận 10,Not mentioned,Not mentioned,278444
8 tỷ 1 xỉu,88 m2 (6x15),"Đường 339 Phước Long B, Phước Long B, Quận 9, Hồ Chí Minh",3,Not mentioned,2,"Sổ riêng, hoàn công chuẩn, không ngập nước, không ồn ào, an ninh tốt, tiện ích xung quanh",Đường 339,Phước Long B,Quận 9,Not mentioned,Hẻm xe hơi tránh,278441
4.x tỷ VND,Rộng 4m,"Phường 5, Bình Thạnh",3,3,4,"phòng khách, bếp rộng rãi, đầy đủ công năng; nhiều cửa sổ bao thoáng mát, nhà siêu mới và đầy đủ nội thất","Phạm Văn Đồng, Phan Đăng Lưu, Nơ Trang Long, Nguyễn Kiệm",Phường 5,Bình Thạnh,4m,nhà trong hẻm,278498
3 tỷ1,20m2,P.6 GÒ VẤP,Not mentioned,Not mentioned,1 trệt 1 lửng,"Gần bên trường học, chợ An Nhơn","Nguyễn Oanh, Nguyễn Văn Dung, Lê Đức Thọ",Not mentioned,Gò Vấp,12m,Nhà trong hẻm hay ngoài lộ,278434
1.5 tỷ VND,94 m2,"KD Tân Phú, Tân Quý",5,1,4,"Nội thất cao cấp, kế chợ Tân Hương, Siêu thị Aeon",KD Tân Phú,Tân Quý,Tân Phú,1,Nhà mặt tiền,278497
7 tỷ VND,60m2 ( 4 x 14.5),Lý Thánh Tông Phường Tân Thới Hoà - Tân Phú,6,6,5,xe hơi ngủ trong nhà,Lý Thánh Tông,Phường Tân Thới Hoà,Tân Phú,Not mentioned,nhà ngay vị trí Tuyệt vời sát vách Tô Hiệu,278496
7 tỷ,4x25m,"Gần mt Tên Lửa, Đường Kinh Dương Vương, Bình Tân, ngay khu Tên Lửa, vài bước qua AEON Mall",Not specified,Not specified,4,"Nội thất đẹp, khu cao tầng, kế siêu thị, khu phân lô, tiện ích bao quanh",Kinh Dương Vương,Not specified,Bình Tân,Not specified,Hẻm nhựa thông,278495
